Region,Male,Female,Black,Amerindian,East Indian,Chinese,Mixed,Portugese,White,Other Ethnicity,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 +,Anglican,Methodist,Pentecostal,Catholic,Witness,Adventist,Bahai,Muslim,Hindu,Rastafarian,Christians,No Religion,Other Religion,Agriculture,Mining,Manufacturing,Power,Sewer,Construction,Vehicles,Transportation,Hotels,IT,Finance,Real Estate,Professional,Administrative,Pubic Sector,Education,Health,Entertainment,Membership Orgs,Other Goods,Overseas
1,0.522668442,0.477331558,0.021743954,0.646771688,0.016529842,0.000480734,0.312550847,0.00151616,0.000332816,7.3959E-05,0.142519044,0.155387915,0.116374529,0.076991347,0.14588418,0.056689594,0.05620886,0.049922343,0.043968641,0.042637379,0.032800828,0.023962725,0.017121515,0.01442201,0.009614673,0.008061534,0.003993787,0.002699504,0.024665335,0.001146365,0.399008949,0.338473486,0.020042896,0.034058132,0.000110939,0.002514607,0.004141705,0.001442201,0.137193995,0.030064344,0.007137046,0.076029879,0.102322313,0.005546927,0.001701058,0.000221877,0.024221581,0.010798018,0.004511501,0.009725612,0.000443754,0,0.000406775,0.001775017,0.007765698,0.015642334,0.006175579,0.000147918,0.00155314,0,0.00610162,0.000147918
2,0.502694832,0.497305168,0.123245099,0.186921372,0.449450167,0.000869301,0.236558439,0.002260182,0.000673708,2.17325E-05,0.096209849,0.114313035,0.120419872,0.081670796,0.101664711,0.062676577,0.061568218,0.060329465,0.062459252,0.060481593,0.053614117,0.040444213,0.030968836,0.018298779,0.015125831,0.009627505,0.00612857,0.003998783,0.068892076,0.010475073,0.163776242,0.034685096,0.00958404,0.080997088,0.000543313,0.068370496,0.33235537,0.000717173,0.20098231,0.022753944,0.005846047,0.098839484,0.05009345,0.023166862,0.002955622,0.001238753,0.044595123,0.031729474,0.004759421,0.02047203,0.001151823,2.17325E-05,0.001760334,0.007584648,0.017125223,0.020537228,0.007845438,0.000586778,0.007975833,2.17325E-05,0.006932673,0.002281914
3,0.498966191,0.501033809,0.211123594,0.026104854,0.595936518,0.001784382,0.16383274,0.000764735,0.000179382,0.000273794,0.085244385,0.10502365,0.111613592,0.08672665,0.087878473,0.070129061,0.073593973,0.074566414,0.068863943,0.062887678,0.054192355,0.041380678,0.029560324,0.017381206,0.014256177,0.0081855,0.005088794,0.003276088,0.028984413,0.012887206,0.169327505,0.021044383,0.010460824,0.026907354,0.000509824,0.117712592,0.377278864,0.002945647,0.213361153,0.015370236,0.00321,0.073678943,0.018060971,0.040691472,0.003889765,0.002190353,0.066163767,0.04573306,0.007515177,0.034413089,0.00321,0.000103853,0.003021177,0.008638677,0.023961707,0.017390648,0.008648118,0.001586118,0.010375853,0.000519265,0.011206677,0.005079353
4,0.45894565,0.54105435,0.427922374,0.02329062,0.370786237,0.002505096,0.227022963,0.003827131,0.000623601,0.000242314,0.093960688,0.108731132,0.114136864,0.092439101,0.093885856,0.078947931,0.079001383,0.076859757,0.069362287,0.060731645,0.054798523,0.043687729,0.033040181,0.020436307,0.014784697,0.010098778,0.006007954,0.004824893,0.055129923,0.02098864,0.286307852,0.06494719,0.014271562,0.048348704,0.000791083,0.06335077,0.219443534,0.006948701,0.227504027,0.039062389,0.009090326,0.030531522,0.021234517,0.039269068,0.004988811,0.002476588,0.083455678,0.049966504,0.017015408,0.036094046,0.006246704,0.000488191,0.006143364,0.021993529,0.038474422,0.020803341,0.012596747,0.00368103,0.01420742,0.001322035,0.012304546,0.007732657
5,0.157015629,0.842984371,0.564161209,0.041965554,0.933291749,0.00152476,0.161070104,0.001386145,0.000554458,0,0.049312125,0.160827529,0.195758395,0.18418408,0.15407007,0.131545206,0.110163912,0.114564924,0.115916415,0.11148075,0.096510379,0.082302388,0.061198323,0.047960633,0.031985307,0.022698132,0.01410403,0.008559448,0.061856742,0.050421042,0.136362061,0.247392314,0.016529785,0.055723048,0.05898049,0.0190595,0.306442111,0.411304016,0.069411235,0.236822955,0.026336764,0.189624701,0.026925876,0.043213085,0.003950515,0.001559414,0.058911183,0.060158714,0.006688152,0.031708078,0.00228714,3.46536E-05,0.002529715,0.009287175,0.035450671,0.029594206,0.010430745,0.001004955,0.008178258,0.000103961,0.011608968,0.003326749
6,0.492608341,0.507391659,0.214832127,0.016097392,0.671378556,0.001576887,0.108101259,0.000666423,0.00049747,0.000131407,0.083959864,0.112803762,0.120444157,0.080937497,0.087695586,0.065910136,0.072208299,0.071438628,0.07031228,0.065468983,0.055237988,0.040689325,0.028468448,0.02003961,0.014933499,0.009667821,0.005378312,0.003979763,0.031856879,0.005866396,0.166530566,0.018115432,0.013009321,0.052384573,0.000516243,0.096321535,0.426379072,0.002675077,0.177099466,0.018922648,0.003407203,0.115018913,0.008550859,0.036099457,0.004045467,0.001248369,0.049409137,0.028994077,0.007293104,0.022489417,0.001886633,7.50899E-05,0.001633205,0.011207164,0.015524831,0.019082214,0.008804288,0.0012953,0.008475769,0.000356677,0.005566037,0.002731394
7,0.52223509,0.47776491,0.111233353,0.376143602,0.083092067,0.001273885,0.411754488,0.012275622,0.000521135,0.003705848,0.129009844,0.104284887,0.107585408,0.090851187,0.117139548,0.074406485,0.071395483,0.063462652,0.057382745,0.052460915,0.04059062,0.034858135,0.019224088,0.013028373,0.009727852,0.007122177,0.003995368,0.002953098,0.174116966,0.004690214,0.232599884,0.054892878,0.006311523,0.171916618,0.001737116,0.019050376,0.033121019,0.004169079,0.165315576,0.062130863,0.069947887,0.049392009,0.140011581,0.010306891,0.002605675,0.000984366,0.063810075,0.020555877,0.013549508,0.033989577,0.001910828,0.000115808,0.001158078,0.002605675,0.012333526,0.017776491,0.008743486,0.001215981,0.006369427,5.79039E-05,0.009148813,0.002142444
8,0.545262578,0.454737422,0.075468234,0.725945648,0.025339699,0.000826295,0.165258906,0.006885788,0.000275432,1,0.146896805,0.121373485,0.10392949,0.086210062,0.127065736,0.079507896,0.068215204,0.061604848,0.05288285,0.045446199,0.035806096,0.025247888,0.015424165,0.010099155,0.008171135,0.00550863,0.00358061,0.00183621,0.062614763,0.006151304,0.095941976,0.397906721,0.00550863,0.026533235,0.000275432,0.005967683,0.010558208,0.007161219,0.31573632,0.061145795,0.004498715,0.086944546,0.149192068,0.002111642,0.000734484,0,0.025982372,0.005784062,0.008997429,0.005233199,0,9.18105E-05,0.000275432,0.002111642,0.010650018,0.019647448,0.006793977,0.000918105,0.001009916,0,0.002478884,0.000275432
9,0.516060862,0.483939138,0.013905325,0.858495351,0.010397295,0.000422654,0.112468301,0.002916314,0.001225697,0.000169062,0.153846154,0.14602705,0.101901944,0.073372781,0.152662722,0.058748943,0.056424345,0.046703297,0.041885038,0.039180051,0.032248521,0.027683855,0.024091293,0.017540152,0.012003381,0.007142857,0.004775993,0.003592561,0.148816568,0.000253593,0.016398986,0.501056636,0.008579882,0.02079459,0.001225697,0.005579036,0.003634827,0.00101437,0.268174134,0.011496196,0.012975486,0.186939983,0.017666948,0.009805579,0.001225697,0.000169062,0.028148774,0.018469992,0.009509721,0.00739645,0.000760778,0,0.001732883,0.00350803,0.011961116,0.020625528,0.006339814,0.001775148,0.002620456,4.22654E-05,0.010101437,0.000887574
10,0.490848714,0.509151286,0.48989626,0.079208176,0.027852859,0.002445491,0.398537854,0.001029681,0.00077226,0.00025742,0.107936263,0.118876619,0.117048936,0.077869591,0.108399619,0.067083687,0.071099441,0.062861997,0.059386825,0.050196926,0.043915875,0.034056684,0.024892527,0.018354056,0.015110562,0.011326486,0.005843437,0.004659304,0.041882256,0.010837388,0.360491158,0.018765928,0.020748063,0.148376966,0.000360388,0.010425515,0.007696862,0.013437331,0.28151466,0.07248951,0.012973975,0.029937962,0.037815018,0.008752285,0.001776199,0.001235617,0.02249852,0.013694751,0.004170206,0.012304682,0.001235617,2.5742E-05,0.000798002,0.00818596,0.012047262,0.009576029,0.006358277,0.000978197,0.004788015,5.1484E-05,0.001184133,0.000926712
