Region,Agriculture,Mining,Manufacturing,Power,Sewer,Construction,Vehicles,Transportation,Hotels,IT,Finance,Real Estate,Professional,Administrative,Pubic Sector,Education,Health,Entertainment,Membership Orgs,Other Goods,Overseas,Population
1,2056,2767,150,46,6,292,655,263,122,12,4,0,11,48,210,423,167,4,42,165,0,27042
2,4548,2305,1066,136,57,1460,2052,942,219,53,105,1,81,349,788,945,361,27,367,319,1,46014
3,7804,1913,4310,412,232,4844,7008,3645,796,340,538,11,320,915,2538,1842,916,168,1099,1187,55,105919
4,8568,5959,11020,1400,695,14022,23420,10129,4775,1753,2170,137,1724,6172,10797,5838,3535,1033,3987,3453,371,280628
5,5472,777,1247,114,45,1736,1700,915,193,66,96,1,73,268,1023,854,301,29,236,335,3,28857
6,12254,911,3846,431,133,3089,5264,2396,777,201,291,8,174,1194,1654,2033,938,138,903,593,38,106539
7,853,2418,178,45,17,355,1102,587,234,33,37,2,20,45,213,307,151,21,110,158,1,17270
8,947,1625,23,8,0,63,283,57,98,0,3,1,3,23,116,214,74,10,11,27,0,10892
9,4423,418,232,29,4,437,666,175,225,18,21,0,41,83,283,488,150,42,62,239,1,23660
10,1163,1469,340,69,48,532,874,478,162,48,36,1,31,318,468,372,247,38,186,46,2,38847
