Region,Agriculture,Mining,Manufacturing,Power,Sewer,Construction,Vehicles,Transportation,Hotels,IT,Finance,Real Estate,Professional,Administrative,Pubic Sector,Education,Health,Entertainment,Membership Orgs,Other Goods,Overseas,Population
1,28,1,0,4,0,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,177
1,19,4,1,0,0,3,10,3,2,0,0,0,0,1,1,2,1,0,1,1,0,203
1,43,56,4,2,1,33,36,23,3,1,0,0,0,7,25,34,17,0,1,22,0,1254
1,13,16,5,6,0,15,23,15,5,2,0,0,0,3,36,31,19,0,1,7,0,569
1,29,52,7,1,1,15,39,21,6,0,1,0,1,5,33,20,18,0,3,9,0,935
1,24,44,5,0,2,19,30,19,7,1,2,0,1,4,16,22,10,0,6,3,0,723
1,17,24,1,0,0,10,3,2,6,0,0,0,0,1,5,2,0,0,3,4,0,337
1,108,112,4,0,0,16,16,10,2,0,0,0,1,1,6,25,1,0,2,0,0,1220
1,33,5,1,0,0,1,2,0,1,0,0,0,0,0,1,3,1,0,0,0,0,218
1,8,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,70
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1,26,12,6,19,0,7,66,9,8,0,0,0,0,0,2,4,3,2,1,1,0,497
1,27,4,8,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,142
1,94,44,1,0,0,2,1,0,1,0,0,0,0,0,3,16,5,0,0,1,0,565
1,34,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,104
1,98,10,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,446
1,66,29,1,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,0,346
1,59,17,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,316
1,21,14,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,129
1,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,111
1,24,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,180
1,22,7,0,5,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,124
1,40,15,2,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,1,0,231
1,47,22,32,0,0,3,2,2,0,0,0,0,0,0,0,4,1,0,0,2,0,421
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145
1,35,37,1,0,0,1,3,1,0,0,0,0,0,0,0,3,1,0,0,1,0,225
1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1,0,148,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
1,8,20,5,0,1,2,2,11,8,0,0,0,0,1,3,4,3,0,0,0,0,409
1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
1,1,318,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,9,0,423
1,2,78,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,196
1,70,181,8,0,1,40,43,33,11,3,0,0,0,2,9,8,4,0,0,14,0,1433
1,13,117,4,1,0,7,105,32,4,0,0,0,0,5,1,25,7,0,13,15,0,1152
1,34,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,106
1,7,17,0,0,0,6,4,11,1,0,0,0,0,1,2,1,0,0,0,0,0,149
1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,166
1,7,13,0,0,0,0,4,0,4,0,0,0,0,0,0,3,1,0,0,0,0,425
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,50,100,4,2,0,20,19,4,4,1,0,0,1,3,0,4,3,0,2,11,0,797
1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28
1,34,5,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,153
1,81,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,2,0,0,0,0,262
1,11,12,0,0,0,1,3,0,2,0,0,0,0,0,2,1,2,0,0,0,0,280
1,64,50,5,2,0,6,7,3,1,0,0,0,0,0,0,8,1,0,0,2,0,499
1,29,20,3,0,0,0,5,0,3,0,0,0,0,1,0,4,1,0,0,0,0,304
1,23,1,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,0,0,0,0,101
1,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1,86,102,0,0,0,1,6,0,2,0,0,0,0,0,1,4,1,0,1,3,0,635
1,61,37,1,0,0,0,7,2,1,0,0,0,0,0,0,4,3,0,0,0,0,890
1,8,105,0,0,0,7,9,0,0,0,0,0,0,0,0,26,6,1,0,0,0,717
1,27,56,3,0,0,7,12,4,1,2,0,0,0,2,5,8,2,0,0,1,0,487
